"","activity","subject","total_acc_x_mean","total_acc_x_sdv","total_acc_y_mean","total_acc_y_sdv","total_acc_z_mean","total_acc_z_sdv","body_acc_x_mean","body_acc_x_sdv","body_acc_y_mean","body_acc_y_sdv","body_acc_z_mean","body_acc_z_sdv","body_gyro_x_mean","body_gyro_x_sdv","body_gyro_y_mean","body_gyro_y_sdv","body_gyro_z_mean","body_gyro_z_sdv"
"1","Walking",1,0.997061180921053,0.233861527742345,-0.263882523646155,0.191816890451813,-0.0733891163883255,0.134023290420627,-5.04911990559208e-05,0.234133338780874,-0.000128854135947368,0.192116753389082,-0.000938320109560033,0.136100278562349,-0.014599858215148,0.460148204398441,0.00217139307711349,0.725724933538022,-0.00061430490753125,0.319697711403702
"2","Walking",2,0.981170597153072,0.188328319595238,-0.328878587927701,0.158733275151833,0.0786663049567929,0.105553809812103,-0.000236823526445975,0.188678607759782,-0.0007640919728125,0.159223036474717,0.000927358610169756,0.106385882218855,-0.0261456554122987,0.383504266451495,0.0117845148574828,0.355332679945745,-0.00154868120596663,0.25345015970436
"3","Walking",3,0.997605530253233,0.208855638345089,-0.243620709883459,0.160044261487548,-0.142689099779429,0.111990607320487,-0.000413872830590652,0.209240438011909,-2.02621447764008e-05,0.160619943966853,-0.00144266983757813,0.113191908681054,0.00209813659221444,0.374518140311476,-0.00161440306505657,0.33593479222256,-0.00220595817404903,0.255575367320821
"4","Walking",4,1.01767012106771,0.182891567054605,-0.0664847311506146,0.158497239559965,0.11900994170319,0.0763835890691704,0.000207368155971354,0.183094461715684,0.00120543976572526,0.159097393646937,-0.00102254446784505,0.0774329765857893,-0.00425263819567708,0.436304469595107,0.000744455540416667,0.258157629819505,-0.00255156665798958,0.165557090664548
"5","Walking",5,1.02361758344029,0.230449981783372,-0.0823350773042439,0.184960360849111,-0.00290405617793527,0.0993089207683185,5.49378844977676e-05,0.230767906881349,-7.70382653041294e-05,0.185674260562418,0.000186927531498326,0.10067355651463,-0.0218822389265346,0.445046647545727,0.00240460003061942,0.381231375757818,-0.00211967320304129,0.332076740416909
"6","Walking",6,1.01452100722314,0.229696723480138,-0.196241246037771,0.199902269141489,0.0264318847108882,0.0908701410740415,0.00125361086125,0.229975084719683,0.000127318237214912,0.200615970686676,-0.000659203091705044,0.0921667689559645,0.00223314137040214,0.48410806808272,-4.82396223917217e-05,0.513604389795093,-0.00108519217804276,0.300875593158522
"7","Walking upstairs",1,0.962941935097288,0.210133677853263,-0.347215722982459,0.171065484037623,-0.0759891528358196,0.172738396075077,-0.00455728508969634,0.211075716737085,-0.00357455272079452,0.172166978248995,0.00363560725781545,0.179359824376013,0.0806764951158314,0.398028599008249,-0.041460951730513,0.770670697587944,-0.0123806836501887,0.240820734434467
"8","Walking upstairs",2,0.888648334407552,0.226144867715474,-0.399876286108333,0.188107185987623,-0.212631736700791,0.160406577528359,-0.00626711601526693,0.227428597731043,-0.00224174608150846,0.191017624067003,-0.0146031169508174,0.16269940599083,-0.0309573604757487,0.490001601715019,0.0190761039483724,0.410568810200016,-0.007743288215625,0.406984635848773
"9","Walking upstairs",3,0.95710298628178,0.223791894945592,-0.372323638454714,0.171696008995111,-0.166233946183615,0.112637361322145,-0.0034530665892214,0.224586664007498,-0.00801077242356991,0.174549769913918,-0.000580482469830508,0.116367360336316,0.103003805232336,0.475384049890987,-0.0293182022684719,0.321428565807872,-0.02866763644067,0.248006907273706
"10","Walking upstairs",4,1.00353952916166,0.258730544473538,-0.222379972014313,0.158525222228117,0.0752361516597686,0.111814167246818,-0.00138054912814002,0.259738018657437,-0.00778496399770733,0.161170726140763,-0.00195291145792818,0.115938777844976,0.0691595651582091,0.476784496942272,-0.0052408352585637,0.345586194162997,-0.000866329750922476,0.311686921524456
"11","Walking upstairs",5,0.996363551230053,0.310796968035221,-0.255623305961074,0.201296762664771,-0.028050900172624,0.122936859300435,-0.00187869311153923,0.311465544250243,-0.00807163455256981,0.204170694227251,0.000276225530490359,0.127304258375926,0.0693004434081749,0.486440689658547,-0.0193492855700133,0.430435901725321,-0.0194246224910971,0.357859979490017
"12","Walking upstairs",6,0.979916172717525,0.309444930548065,-0.327547300657816,0.202989587985425,-0.0282167908499571,0.116590341685965,-0.0019261144401348,0.31003232073523,-0.0052998792535386,0.204897345913136,-0.00455037321912377,0.11928702862402,-0.0506039534477022,0.592129352309138,0.0101320629135386,0.525777925989033,-0.00881170021187194,0.397346952033257
